job_title,job_skill_set
Data Scientist,"Python, Pandas, NumPy, Machine Learning, Scikit-learn, SQL, Data Visualization, Deep Learning"
Frontend Developer,"HTML, CSS, JavaScript, React, Redux, Webpack, UI Design, Git"
Backend Developer,"Node.js, Express, MongoDB, PostgreSQL, REST APIs, Docker, Git, Authentication"
DevOps Engineer,"AWS, Jenkins, Docker, Kubernetes, Terraform, CI/CD, Linux, Python"
Full Stack Developer,"React, Node.js, MongoDB, Express, HTML, CSS, Git, REST APIs"
Cloud Engineer,"Azure, AWS, GCP, DevOps, Bash, Python, Networking, Cloud Security"
AI/ML Engineer,"TensorFlow, PyTorch, Scikit-learn, Machine Learning, Deep Learning, Python, NLP, Computer Vision"
Cybersecurity Analyst,"Network Security, Threat Analysis, Python, Wireshark, Vulnerability Assessment, Firewall, SIEM"
Database Administrator,"SQL, MySQL, PostgreSQL, Oracle, Database Optimization, Backup and Recovery, Data Modeling"
Mobile App Developer,"Java, Kotlin, Swift, Flutter, Dart, Android Studio, Xcode, Mobile UI/UX"
Business Analyst,"Excel, SQL, Power BI, Tableau, Requirement Analysis, JIRA, Communication, Agile"
QA Engineer,"Selenium, Postman, TestNG, JUnit, Automation Testing, Manual Testing, Bug Tracking, Python"
Software Engineer,"Java, Spring Boot, Git, SQL, REST APIs, Microservices, Unit Testing"
Site Reliability Engineer,"Monitoring, Incident Management, Kubernetes, Docker, Python, Prometheus, Grafana"
Technical Support Engineer,"Customer Support, Troubleshooting, Networking, Linux, Windows, SQL, Ticketing Systems"
Network Engineer,"Routing, Switching, Network Security, Cisco, VPN, Firewalls, LAN/WAN"
System Administrator,"Linux, Windows Server, Active Directory, Bash, PowerShell, Virtualization, Monitoring"
Product Manager,"Agile, Scrum, Roadmap Planning, User Stories, JIRA, Communication, UX Understanding"
UI/UX Designer,"Figma, Adobe XD, Prototyping, Wireframes, User Research, Interaction Design"
AI Research Scientist,"Deep Learning, Python, PyTorch, NLP, Reinforcement Learning, Research Papers, Data Science"
Big Data Engineer,"Hadoop, Spark, Kafka, Hive, Scala, SQL, ETL, Data Pipelines"
IT Project Manager,"Project Planning, MS Project, Agile, Budgeting, Risk Management, Scrum, Communication"
Data Engineer,"Python, SQL, Airflow, Spark, ETL, BigQuery, Data Warehousing, Pipelines"
Game Developer,"Unity, Unreal Engine, C#, C++, Game Physics, Animation, 3D Modeling"
Embedded Systems Engineer,"C, C++, Microcontrollers, RTOS, ARM, Embedded Linux, UART, I2C"
Cloud Solutions Architect,"AWS, Azure, GCP, Cloud Architecture, DevOps, Infrastructure as Code, Networking"
Security Engineer,"Penetration Testing, Vulnerability Assessment, SIEM, Firewalls, IDS/IPS, Python"
IT Auditor,"Risk Assessment, Compliance, ISO 27001, IT Controls, Internal Auditing, SOC 2"
Penetration Tester,"Ethical Hacking, Metasploit, Kali Linux, Burp Suite, Python, Security Assessment"
